"dgp","metric","model","iteration","k","n_trees","nu","q","min_node_size","sample_fraction","mtry","weights_method","value"
"dgp40","coverage","bart_s-learner",1,3,200,10,0.75,NA,NA,NA,NA,1
"dgp40","ate_estimate","bart_s-learner",1,5,200,3,0.9,NA,NA,NA,NA,7.04373979001998
"dgp40","ate_bias","bart_s-learner",1,5,200,3,0.9,NA,NA,NA,NA,0.0817548826144314
"dgp40","ci_length","bart_s-learner",1,5,200,3,0.9,NA,NA,NA,NA,0.534858607892095
"dgp40","coverage","bart_s-learner",1,5,200,3,0.9,NA,NA,NA,NA,1
"dgp40","ate_estimate","bart_s-learner",1,5,200,3,0.99,NA,NA,NA,NA,7.0521433138553
"dgp40","ate_bias","bart_s-learner",1,5,200,3,0.99,NA,NA,NA,NA,0.0901584064497474
"dgp40","ci_length","bart_s-learner",1,5,200,3,0.99,NA,NA,NA,NA,0.524552947390232
"dgp40","coverage","bart_s-learner",1,5,200,3,0.99,NA,NA,NA,NA,1
"dgp40","ate_estimate","bart_s-learner",1,5,200,10,0.75,NA,NA,NA,NA,7.04509794318662
"dgp40","ate_bias","bart_s-learner",1,5,200,10,0.75,NA,NA,NA,NA,0.0831130357810697
"dgp40","ci_length","bart_s-learner",1,5,200,10,0.75,NA,NA,NA,NA,0.539045728013114
"dgp40","coverage","bart_s-learner",1,5,200,10,0.75,NA,NA,NA,NA,1
"dgp40","ate_estimate","bart_s-learner",2,1,75,3,0.9,NA,NA,NA,NA,6.60743626804614
"dgp40","ate_bias","bart_s-learner",2,1,75,3,0.9,NA,NA,NA,NA,-0.354548639359406
"dgp40","ci_length","bart_s-learner",2,1,75,3,0.9,NA,NA,NA,NA,0.591016110812938
"dgp40","coverage","bart_s-learner",2,1,75,3,0.9,NA,NA,NA,NA,0
"dgp40","ate_estimate","bart_s-learner",2,1,75,3,0.99,NA,NA,NA,NA,6.57660373882933
"dgp40","ate_bias","bart_s-learner",2,1,75,3,0.99,NA,NA,NA,NA,-0.38538116857622
"dgp40","ci_length","bart_s-learner",2,1,75,3,0.99,NA,NA,NA,NA,0.518413256400925
"dgp40","coverage","bart_s-learner",2,1,75,3,0.99,NA,NA,NA,NA,0
"dgp40","ate_estimate","bart_s-learner",2,1,75,10,0.75,NA,NA,NA,NA,6.60335809506944
"dgp40","ate_bias","bart_s-learner",2,1,75,10,0.75,NA,NA,NA,NA,-0.358626812336114
"dgp40","ci_length","bart_s-learner",2,1,75,10,0.75,NA,NA,NA,NA,0.518239457783277
"dgp40","coverage","bart_s-learner",2,1,75,10,0.75,NA,NA,NA,NA,0
"dgp40","ate_estimate","bart_s-learner",2,2,75,3,0.9,NA,NA,NA,NA,6.60549271474781
"dgp40","ate_bias","bart_s-learner",2,2,75,3,0.9,NA,NA,NA,NA,-0.356492192657743
"dgp40","ci_length","bart_s-learner",2,2,75,3,0.9,NA,NA,NA,NA,0.474087033699455
"dgp40","coverage","bart_s-learner",2,2,75,3,0.9,NA,NA,NA,NA,0
"dgp40","ate_estimate","bart_s-learner",2,2,75,3,0.99,NA,NA,NA,NA,6.59903154041492
"dgp40","ate_bias","bart_s-learner",2,2,75,3,0.99,NA,NA,NA,NA,-0.362953366990627
"dgp40","ci_length","bart_s-learner",2,2,75,3,0.99,NA,NA,NA,NA,0.480794102417264
"dgp40","coverage","bart_s-learner",2,2,75,3,0.99,NA,NA,NA,NA,0
"dgp40","ate_estimate","bart_s-learner",2,2,75,10,0.75,NA,NA,NA,NA,6.57989599215523
"dgp40","ate_bias","bart_s-learner",2,2,75,10,0.75,NA,NA,NA,NA,-0.382088915250317
"dgp40","ci_length","bart_s-learner",2,2,75,10,0.75,NA,NA,NA,NA,0.539980232575144
"dgp40","coverage","bart_s-learner",2,2,75,10,0.75,NA,NA,NA,NA,0
"dgp40","ate_estimate","bart_s-learner",2,3,75,3,0.9,NA,NA,NA,NA,6.56141091136583
"dgp40","ate_bias","bart_s-learner",2,3,75,3,0.9,NA,NA,NA,NA,-0.400573996039722
"dgp40","ci_length","bart_s-learner",2,3,75,3,0.9,NA,NA,NA,NA,0.465851491664099
"dgp40","coverage","bart_s-learner",2,3,75,3,0.9,NA,NA,NA,NA,0
"dgp40","ate_estimate","bart_s-learner",2,3,75,3,0.99,NA,NA,NA,NA,6.54896497971475
"dgp40","ate_bias","bart_s-learner",2,3,75,3,0.99,NA,NA,NA,NA,-0.413019927690801
"dgp40","ci_length","bart_s-learner",2,3,75,3,0.99,NA,NA,NA,NA,0.488327400030297
"dgp40","coverage","bart_s-learner",2,3,75,3,0.99,NA,NA,NA,NA,0
"dgp40","ate_estimate","bart_s-learner",2,3,75,10,0.75,NA,NA,NA,NA,6.5768806363041
"dgp40","ate_bias","bart_s-learner",2,3,75,10,0.75,NA,NA,NA,NA,-0.385104271101448
"dgp40","ci_length","bart_s-learner",2,3,75,10,0.75,NA,NA,NA,NA,0.493382172027242
"dgp40","coverage","bart_s-learner",2,3,75,10,0.75,NA,NA,NA,NA,0
"dgp40","ate_estimate","bart_s-learner",2,5,75,3,0.9,NA,NA,NA,NA,6.55228300696612
"dgp40","ate_bias","bart_s-learner",2,5,75,3,0.9,NA,NA,NA,NA,-0.409701900439432
"dgp40","ci_length","bart_s-learner",2,5,75,3,0.9,NA,NA,NA,NA,0.482295728063056
"dgp40","coverage","bart_s-learner",2,5,75,3,0.9,NA,NA,NA,NA,0
"dgp40","ate_estimate","bart_s-learner",2,5,75,3,0.99,NA,NA,NA,NA,6.5732787531281
"dgp40","ate_bias","bart_s-learner",2,5,75,3,0.99,NA,NA,NA,NA,-0.388706154277446
"dgp40","ci_length","bart_s-learner",2,5,75,3,0.99,NA,NA,NA,NA,0.479156509934537
"dgp40","coverage","bart_s-learner",2,5,75,3,0.99,NA,NA,NA,NA,0
"dgp40","ate_estimate","bart_s-learner",2,5,75,10,0.75,NA,NA,NA,NA,6.57559181895862
"dgp40","ate_bias","bart_s-learner",2,5,75,10,0.75,NA,NA,NA,NA,-0.386393088446929
"dgp40","ci_length","bart_s-learner",2,5,75,10,0.75,NA,NA,NA,NA,0.512169701051404
"dgp40","coverage","bart_s-learner",2,5,75,10,0.75,NA,NA,NA,NA,0
"dgp40","ate_estimate","bart_s-learner",2,1,100,3,0.9,NA,NA,NA,NA,6.61789393854105
"dgp40","ate_bias","bart_s-learner",2,1,100,3,0.9,NA,NA,NA,NA,-0.344090968864501
"dgp40","ci_length","bart_s-learner",2,1,100,3,0.9,NA,NA,NA,NA,0.505269074717661
"dgp40","coverage","bart_s-learner",2,1,100,3,0.9,NA,NA,NA,NA,0
"dgp40","ate_estimate","bart_s-learner",2,1,100,3,0.99,NA,NA,NA,NA,6.60053873885069
"dgp40","ate_bias","bart_s-learner",2,1,100,3,0.99,NA,NA,NA,NA,-0.361446168554858
"dgp40","ci_length","bart_s-learner",2,1,100,3,0.99,NA,NA,NA,NA,0.53775705674125
"dgp40","coverage","bart_s-learner",2,1,100,3,0.99,NA,NA,NA,NA,0
"dgp40","ate_estimate","bart_s-learner",2,1,100,10,0.75,NA,NA,NA,NA,6.6093721771118
"dgp40","ate_bias","bart_s-learner",2,1,100,10,0.75,NA,NA,NA,NA,-0.352612730293755
"dgp40","ci_length","bart_s-learner",2,1,100,10,0.75,NA,NA,NA,NA,0.541603921899086
"dgp40","coverage","bart_s-learner",2,1,100,10,0.75,NA,NA,NA,NA,0
"dgp40","ate_estimate","bart_s-learner",2,2,100,3,0.9,NA,NA,NA,NA,6.58997474828029
"dgp40","ate_bias","bart_s-learner",2,2,100,3,0.9,NA,NA,NA,NA,-0.372010159125257
"dgp40","ci_length","bart_s-learner",2,2,100,3,0.9,NA,NA,NA,NA,0.473360343074956
"dgp40","coverage","bart_s-learner",2,2,100,3,0.9,NA,NA,NA,NA,0
"dgp40","ate_estimate","bart_s-learner",2,2,100,3,0.99,NA,NA,NA,NA,6.54537140320455
"dgp40","ate_bias","bart_s-learner",2,2,100,3,0.99,NA,NA,NA,NA,-0.416613504200998
"dgp40","ci_length","bart_s-learner",2,2,100,3,0.99,NA,NA,NA,NA,0.515301973514803
"dgp40","coverage","bart_s-learner",2,2,100,3,0.99,NA,NA,NA,NA,0
"dgp40","ate_estimate","bart_s-learner",2,2,100,10,0.75,NA,NA,NA,NA,6.57105340495699
"dgp40","ate_bias","bart_s-learner",2,2,100,10,0.75,NA,NA,NA,NA,-0.39093150244856
"dgp40","ci_length","bart_s-learner",2,2,100,10,0.75,NA,NA,NA,NA,0.540032511073249
"dgp40","coverage","bart_s-learner",2,2,100,10,0.75,NA,NA,NA,NA,0
"dgp40","ate_estimate","bart_s-learner",2,3,100,3,0.9,NA,NA,NA,NA,6.57792011884631
"dgp40","ate_bias","bart_s-learner",2,3,100,3,0.9,NA,NA,NA,NA,-0.384064788559235
"dgp40","ci_length","bart_s-learner",2,3,100,3,0.9,NA,NA,NA,NA,0.477253218272816
"dgp40","coverage","bart_s-learner",2,3,100,3,0.9,NA,NA,NA,NA,0
"dgp40","ate_estimate","bart_s-learner",2,3,100,3,0.99,NA,NA,NA,NA,6.55395449703386
"dgp40","ate_bias","bart_s-learner",2,3,100,3,0.99,NA,NA,NA,NA,-0.408030410371691
"dgp40","ci_length","bart_s-learner",2,3,100,3,0.99,NA,NA,NA,NA,0.511979491684118
"dgp40","coverage","bart_s-learner",2,3,100,3,0.99,NA,NA,NA,NA,0
"dgp40","ate_estimate","bart_s-learner",2,3,100,10,0.75,NA,NA,NA,NA,6.57509410904841
"dgp40","ate_bias","bart_s-learner",2,3,100,10,0.75,NA,NA,NA,NA,-0.38689079835714
"dgp40","ci_length","bart_s-learner",2,3,100,10,0.75,NA,NA,NA,NA,0.555124883988806
"dgp40","coverage","bart_s-learner",2,3,100,10,0.75,NA,NA,NA,NA,0
"dgp40","ate_estimate","bart_s-learner",2,5,100,3,0.9,NA,NA,NA,NA,6.57131273265049
"dgp40","ate_bias","bart_s-learner",2,5,100,3,0.9,NA,NA,NA,NA,-0.390672174755058
"dgp40","ci_length","bart_s-learner",2,5,100,3,0.9,NA,NA,NA,NA,0.474290298707895
"dgp40","coverage","bart_s-learner",2,5,100,3,0.9,NA,NA,NA,NA,0
"dgp40","ate_estimate","bart_s-learner",2,5,100,3,0.99,NA,NA,NA,NA,6.60447803512505
"dgp40","ate_bias","bart_s-learner",2,5,100,3,0.99,NA,NA,NA,NA,-0.357506872280504
"dgp40","ci_length","bart_s-learner",2,5,100,3,0.99,NA,NA,NA,NA,0.470434060220351
"dgp40","coverage","bart_s-learner",2,5,100,3,0.99,NA,NA,NA,NA,0
"dgp40","ate_estimate","bart_s-learner",2,5,100,10,0.75,NA,NA,NA,NA,6.57695646663399
"dgp40","ate_bias","bart_s-learner",2,5,100,10,0.75,NA,NA,NA,NA,-0.385028440771562
"dgp40","ci_length","bart_s-learner",2,5,100,10,0.75,NA,NA,NA,NA,0.515977512960072
"dgp40","coverage","bart_s-learner",2,5,100,10,0.75,NA,NA,NA,NA,0
"dgp40","ate_estimate","bart_s-learner",2,1,200,3,0.9,NA,NA,NA,NA,6.57528127485974
"dgp40","ate_bias","bart_s-learner",2,1,200,3,0.9,NA,NA,NA,NA,-0.386703632545814
"dgp40","ci_length","bart_s-learner",2,1,200,3,0.9,NA,NA,NA,NA,0.492001676805668
"dgp40","coverage","bart_s-learner",2,1,200,3,0.9,NA,NA,NA,NA,0
"dgp40","ate_estimate","bart_s-learner",2,1,200,3,0.99,NA,NA,NA,NA,6.60159260912175
"dgp40","ate_bias","bart_s-learner",2,1,200,3,0.99,NA,NA,NA,NA,-0.360392298283805
"dgp40","ci_length","bart_s-learner",2,1,200,3,0.99,NA,NA,NA,NA,0.519815676214308
