"dgp","model","k","n_trees","nu","q","min_node_size","sample_fraction","mtry","weights_method","rmse_rel","coverage","ci_rel"
"dgp60","bart_s-learner",3,100,10,0.75,NA,NA,NA,NA,0.0707039309695408,0.7,0.178751246165418
"dgp60","bart_s-learner",3,200,3,0.9,NA,NA,NA,NA,0.076123876609076,0.7,0.177944876815966
"dgp60","bart_s-learner",3,200,3,0.99,NA,NA,NA,NA,0.0758627449427843,0.7,0.17731769502052
"dgp60","bart_s-learner",3,200,10,0.75,NA,NA,NA,NA,0.0758133463059694,0.7,0.178268617628315
"dgp60","bart_s-learner",5,75,3,0.9,NA,NA,NA,NA,0.0901961799850054,0.6,0.176716050734927
"dgp60","bart_s-learner",5,75,3,0.99,NA,NA,NA,NA,0.0899260317004699,0.6,0.176344316021599
"dgp60","bart_s-learner",5,75,10,0.75,NA,NA,NA,NA,0.0899687332134308,0.6,0.176692890848637
"dgp60","bart_s-learner",5,100,3,0.9,NA,NA,NA,NA,0.0951454039200516,0.55,0.176497776723124
"dgp60","bart_s-learner",5,100,3,0.99,NA,NA,NA,NA,0.0951206607703327,0.55,0.17587711947766
"dgp60","bart_s-learner",5,100,10,0.75,NA,NA,NA,NA,0.0950770694570539,0.55,0.177349885784464
"dgp60","bart_s-learner",5,200,3,0.9,NA,NA,NA,NA,0.108257546234535,0.4,0.175589338653943
"dgp60","bart_s-learner",5,200,3,0.99,NA,NA,NA,NA,0.108315999316536,0.4,0.176386830648781
"dgp60","bart_s-learner",5,200,10,0.75,NA,NA,NA,NA,0.108360206711902,0.35,0.175649370259923
"dgp60","bart_t-learner",1,75,3,0.9,NA,NA,NA,NA,0.0524890043114185,0.95,0.181090567324787
"dgp60","bart_t-learner",1,75,3,0.99,NA,NA,NA,NA,0.0521969917447242,0.95,0.181365030655374
"dgp60","bart_t-learner",1,75,10,0.75,NA,NA,NA,NA,0.0525562503790065,0.95,0.181452472257683
"dgp60","bart_t-learner",1,100,3,0.9,NA,NA,NA,NA,0.0523727737884304,0.95,0.180159598832428
"dgp60","bart_t-learner",1,100,3,0.99,NA,NA,NA,NA,0.0527681621209523,0.95,0.179985008340052
"dgp60","bart_t-learner",1,100,10,0.75,NA,NA,NA,NA,0.0528771093721127,0.95,0.18138734154507
"dgp60","bart_t-learner",1,200,3,0.9,NA,NA,NA,NA,0.0531195379838378,0.95,0.180965614035432
"dgp60","bart_t-learner",1,200,3,0.99,NA,NA,NA,NA,0.0531747796725067,0.95,0.181272689889492
"dgp60","bart_t-learner",1,200,10,0.75,NA,NA,NA,NA,0.0532893137734028,0.95,0.181781841297896
"dgp60","bart_t-learner",2,75,3,0.9,NA,NA,NA,NA,0.0526344008016962,0.95,0.176962332146407
"dgp60","bart_t-learner",2,75,3,0.99,NA,NA,NA,NA,0.0528451584917663,0.9,0.176678004583944
"dgp60","bart_t-learner",2,75,10,0.75,NA,NA,NA,NA,0.0525962374477889,0.9,0.177650565520571
"dgp60","bart_t-learner",2,100,3,0.9,NA,NA,NA,NA,0.0525367276760789,0.9,0.176901898195738
"dgp60","bart_t-learner",2,100,3,0.99,NA,NA,NA,NA,0.0525836698601315,0.95,0.176955743679893
"dgp60","bart_t-learner",2,100,10,0.75,NA,NA,NA,NA,0.0526659087157541,0.9,0.177723167803055
"dgp60","bart_t-learner",2,200,3,0.9,NA,NA,NA,NA,0.0523688360756217,0.95,0.1778542241757
"dgp60","bart_t-learner",2,200,3,0.99,NA,NA,NA,NA,0.0525718649794072,0.9,0.176028195178954
"dgp60","bart_t-learner",2,200,10,0.75,NA,NA,NA,NA,0.0527602745690031,0.95,0.177533259090738
"dgp60","bart_t-learner",3,75,3,0.9,NA,NA,NA,NA,0.0535620072340064,0.85,0.176556718346195
"dgp60","bart_t-learner",3,75,3,0.99,NA,NA,NA,NA,0.0536608886765029,0.9,0.175827233520401
"dgp60","bart_t-learner",3,75,10,0.75,NA,NA,NA,NA,0.0538533783330284,0.85,0.175197656469024
"dgp60","bart_t-learner",3,100,3,0.9,NA,NA,NA,NA,0.0538668649403509,0.9,0.176385024696382
"dgp60","bart_t-learner",3,100,3,0.99,NA,NA,NA,NA,0.0539788904714377,0.85,0.174895475537958
"dgp60","bart_t-learner",3,100,10,0.75,NA,NA,NA,NA,0.0538229791929359,0.85,0.17553449856168
"dgp60","bart_t-learner",3,200,3,0.9,NA,NA,NA,NA,0.0537798653190549,0.85,0.176234654555254
"dgp60","bart_t-learner",3,200,3,0.99,NA,NA,NA,NA,0.0538646133922162,0.9,0.176957717261303
"dgp60","bart_t-learner",3,200,10,0.75,NA,NA,NA,NA,0.0538824922189636,0.85,0.176090709886045
"dgp60","bart_t-learner",5,75,3,0.9,NA,NA,NA,NA,0.0574579691502,0.85,0.176611291779164
"dgp60","bart_t-learner",5,75,3,0.99,NA,NA,NA,NA,0.0573408505676968,0.85,0.175688460363127
"dgp60","bart_t-learner",5,75,10,0.75,NA,NA,NA,NA,0.0572899693165712,0.9,0.175520929132671
"dgp60","bart_t-learner",5,100,3,0.9,NA,NA,NA,NA,0.0574465714386568,0.8,0.177399781311565
"dgp60","bart_t-learner",5,100,3,0.99,NA,NA,NA,NA,0.0574363502539158,0.85,0.176837491274382
"dgp60","bart_t-learner",5,100,10,0.75,NA,NA,NA,NA,0.0574208286910943,0.8,0.176892445274901
"dgp60","bart_t-learner",5,200,3,0.9,NA,NA,NA,NA,0.0577290451092133,0.9,0.177579504996688
"dgp60","bart_t-learner",5,200,3,0.99,NA,NA,NA,NA,0.0576456657773985,0.85,0.177598289796259
